,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
0,SP1,2012-08-18,Celta,Malaga,0,1,A,0,0,D,17,16,3,6,13,9,8,9,2,0,0,0,2.25,3.25,3.2
1,SP1,2012-08-18,Sevilla,Getafe,2,1,H,2,0,H,16,10,5,3,15,17,8,8,4,4,0,0,1.62,3.75,5.5
2,SP1,2012-08-18,Mallorca,Espanol,2,1,H,1,1,D,17,13,9,5,14,14,7,4,3,2,0,0,2.0,3.3,3.8
3,SP1,2012-08-19,Real Madrid,Valencia,1,1,D,1,1,D,24,5,9,1,10,16,12,5,1,4,0,0,1.25,6.0,10.0
4,SP1,2012-08-19,Ath Bilbao,Betis,3,5,A,0,3,A,17,13,8,9,12,17,11,4,2,2,0,0,1.83,3.5,4.2
5,SP1,2012-08-19,Levante,Ath Madrid,1,1,D,1,1,D,6,11,1,3,17,7,3,6,2,1,0,0,3.2,3.4,2.2
6,SP1,2012-08-19,Barcelona,Sociedad,5,1,H,4,1,H,18,5,10,2,9,12,9,1,2,3,0,0,1.1,9.0,26.0
7,SP1,2012-08-20,La Coruna,Osasuna,2,0,H,0,0,D,10,11,3,1,14,13,5,7,3,4,0,0,2.0,3.4,3.75
8,SP1,2012-08-20,Vallecano,Granada,1,0,H,0,0,D,16,14,3,3,13,9,3,5,2,0,0,0,2.2,3.3,3.3
9,SP1,2012-08-20,Zaragoza,Valladolid,0,1,A,0,1,A,11,7,3,2,17,14,4,4,2,5,0,0,2.15,3.3,3.4
10,SP1,2012-08-25,Espanol,Zaragoza,1,2,A,1,0,H,9,10,1,5,16,21,5,3,4,4,1,0,1.67,3.6,5.25
11,SP1,2012-08-25,Betis,Vallecano,1,2,A,1,1,D,14,19,4,5,14,17,6,8,5,5,0,0,1.7,3.6,5.0
12,SP1,2012-08-25,Sociedad,Celta,2,1,H,0,0,D,15,14,6,4,17,16,7,7,5,2,0,0,2.0,3.4,3.75
13,SP1,2012-08-25,Malaga,Mallorca,1,1,D,0,0,D,18,9,6,4,7,12,14,4,2,4,1,0,1.91,3.5,4.0
14,SP1,2012-08-26,Valencia,La Coruna,3,3,D,3,1,H,13,13,5,8,16,10,2,10,5,2,1,0,1.44,4.2,7.5
15,SP1,2012-08-26,Getafe,Real Madrid,2,1,H,0,1,A,11,14,3,5,12,11,3,7,3,1,0,1,9.5,5.5,1.29
16,SP1,2012-08-26,Osasuna,Barcelona,1,2,A,1,0,H,17,15,5,10,17,11,4,7,6,3,1,0,12.0,6.0,1.22
17,SP1,2012-08-26,Granada,Sevilla,1,1,D,1,1,D,18,9,7,3,15,15,6,0,4,2,0,1,3.0,3.25,2.38
18,SP1,2012-08-27,Ath Madrid,Ath Bilbao,4,0,H,2,0,H,23,7,14,0,11,13,10,4,3,3,0,0,1.6,4.0,5.5
19,SP1,2012-08-27,Valladolid,Levante,2,0,H,1,0,H,15,8,7,1,11,14,7,1,1,5,0,1,2.05,3.4,3.5
20,SP1,2012-09-01,Celta,Osasuna,2,0,H,0,0,D,12,7,4,2,5,15,4,6,1,2,0,1,2.0,3.3,3.75
21,SP1,2012-09-01,Zaragoza,Malaga,0,1,A,0,0,D,11,11,4,3,23,14,10,10,1,4,0,0,2.7,3.25,2.6
22,SP1,2012-09-01,Mallorca,Sociedad,1,0,H,0,0,D,15,10,5,3,21,11,6,3,5,2,0,0,2.1,3.2,3.6
23,SP1,2012-09-01,La Coruna,Getafe,1,1,D,1,1,D,10,13,5,4,8,13,6,6,2,2,0,0,2.2,3.2,3.4
24,SP1,2012-09-02,Real Madrid,Granada,3,0,H,1,0,H,22,7,8,0,12,11,6,3,2,0,0,1,1.08,10.0,23.0
25,SP1,2012-09-02,Levante,Espanol,3,2,H,0,2,A,11,9,4,2,30,21,6,2,3,6,1,0,2.2,3.2,3.4
26,SP1,2012-09-02,Vallecano,Sevilla,0,0,D,0,0,D,13,18,4,3,23,14,5,6,4,2,1,0,2.8,3.25,2.5
27,SP1,2012-09-02,Barcelona,Valencia,1,0,H,1,0,H,11,4,5,1,8,10,5,3,1,2,0,0,1.22,6.0,13.0
28,SP1,2012-09-02,Ath Bilbao,Valladolid,2,0,H,0,0,D,17,8,3,1,6,7,9,4,0,1,0,0,2.0,3.4,3.75
29,SP1,2012-09-15,Valencia,Celta,2,1,H,1,1,D,15,15,4,4,17,15,8,11,3,2,0,0,1.44,4.33,7.0
30,SP1,2012-09-15,Malaga,Levante,3,1,H,1,0,H,12,5,5,1,15,19,4,4,2,4,1,0,1.7,3.6,5.0
31,SP1,2012-09-15,Getafe,Barcelona,1,4,A,0,1,A,6,15,3,9,14,10,1,7,2,2,0,0,11.0,6.0,1.25
32,SP1,2012-09-15,Sevilla,Real Madrid,1,0,H,1,0,H,10,18,7,6,21,13,3,4,3,3,0,0,5.0,4.0,1.62
33,SP1,2012-09-16,Osasuna,Mallorca,1,1,D,0,0,D,20,7,7,3,12,11,14,7,2,1,1,1,2.2,3.25,3.25
34,SP1,2012-09-16,Granada,La Coruna,1,1,D,0,1,A,13,14,2,5,17,14,7,3,3,4,0,0,2.3,3.2,3.2
35,SP1,2012-09-16,Ath Madrid,Vallecano,4,3,H,1,0,H,12,17,6,5,15,14,5,5,0,4,0,0,1.33,5.0,9.0
36,SP1,2012-09-16,Sociedad,Zaragoza,2,0,H,0,0,D,7,12,3,2,13,18,3,5,4,2,0,0,1.8,3.5,4.5
37,SP1,2012-09-16,Espanol,Ath Bilbao,3,3,D,2,0,H,15,16,5,7,27,20,3,4,3,5,1,0,2.2,3.4,3.2
38,SP1,2012-09-17,Valladolid,Betis,0,1,A,0,0,D,10,8,3,2,9,12,5,3,1,2,0,0,2.1,3.3,3.5
39,SP1,2012-09-22,Barcelona,Granada,2,0,H,0,0,D,20,6,11,3,10,15,14,5,0,3,0,0,1.05,12.0,34.0
40,SP1,2012-09-22,Celta,Getafe,2,1,H,0,0,D,14,6,6,4,14,13,4,4,4,3,0,1,2.0,3.4,3.75
41,SP1,2012-09-22,Zaragoza,Osasuna,3,1,H,2,1,H,10,11,4,3,18,13,1,2,2,2,0,0,2.25,3.25,3.2
42,SP1,2012-09-22,Betis,Espanol,1,0,H,1,0,H,15,11,3,2,24,13,7,1,6,4,0,1,1.95,3.5,3.75
43,SP1,2012-09-23,Levante,Sociedad,2,1,H,0,1,A,16,17,6,6,20,10,4,5,2,4,0,0,2.1,3.4,3.4
44,SP1,2012-09-23,Ath Bilbao,Malaga,0,0,D,0,0,D,9,12,1,4,7,6,7,7,3,3,0,0,2.2,3.4,3.2
45,SP1,2012-09-23,Ath Madrid,Valladolid,2,1,H,2,0,H,14,4,7,3,15,23,6,1,2,6,0,0,1.3,5.25,10.0
46,SP1,2012-09-23,Mallorca,Valencia,2,0,H,1,0,H,6,27,3,7,17,9,0,9,4,4,0,0,2.8,3.25,2.5
47,SP1,2012-09-24,La Coruna,Sevilla,0,2,A,0,0,D,14,13,4,7,8,9,9,10,0,2,0,0,2.6,3.3,2.63
48,SP1,2012-09-24,Vallecano,Real Madrid,0,2,A,0,1,A,13,16,3,6,14,14,5,6,2,3,1,0,9.0,5.5,1.3
49,SP1,2012-09-26,Betis,Ath Madrid,2,4,A,2,1,H,6,21,3,10,12,19,3,11,2,3,2,0,3.1,3.3,2.3
50,SP1,2012-09-29,Sociedad,Ath Bilbao,2,0,H,0,0,D,19,7,10,1,13,15,12,5,1,3,0,1,2.3,3.4,3.0
51,SP1,2012-09-29,Valencia,Zaragoza,2,0,H,1,0,H,13,17,4,7,20,11,3,8,2,2,1,0,1.36,4.75,8.5
52,SP1,2012-09-29,Malaga,Betis,4,0,H,2,0,H,21,4,11,2,13,8,6,6,2,0,0,1,1.7,3.75,4.75
53,SP1,2012-09-29,Sevilla,Barcelona,2,3,A,1,0,H,8,15,3,7,15,3,2,7,2,2,1,0,6.0,4.33,1.5
54,SP1,2012-09-30,Espanol,Ath Madrid,0,1,A,0,1,A,9,15,3,5,20,16,1,3,3,3,0,0,3.6,3.5,2.0
55,SP1,2012-09-30,Granada,Celta,2,1,H,2,1,H,7,19,4,9,12,14,3,8,3,3,0,0,2.3,3.25,3.1
56,SP1,2012-09-30,Osasuna,Levante,4,0,H,0,0,D,16,8,8,1,13,24,5,4,2,3,0,0,1.95,3.3,4.0
57,SP1,2012-09-30,Real Madrid,La Coruna,5,1,H,3,1,H,23,5,13,2,15,11,12,2,2,2,0,0,1.13,8.0,21.0
58,SP1,2012-09-30,Valladolid,Vallecano,6,1,H,4,1,H,14,14,10,4,14,17,5,9,1,3,0,0,1.83,3.5,4.33
59,SP1,2012-10-01,Getafe,Mallorca,1,0,H,0,0,D,26,12,6,4,18,12,12,2,2,3,0,1,2.1,3.25,3.6
60,SP1,2012-10-05,Celta,Sevilla,2,0,H,0,0,D,11,11,5,2,14,12,3,6,2,2,0,0,2.63,3.3,2.63
61,SP1,2012-10-06,Valladolid,Espanol,1,1,D,0,0,D,12,14,6,6,19,13,8,3,2,5,0,1,1.91,3.5,4.0
62,SP1,2012-10-06,Zaragoza,Getafe,0,1,A,0,0,D,12,17,6,9,19,27,8,5,5,2,2,1,2.3,3.3,3.1
63,SP1,2012-10-06,Betis,Sociedad,2,0,H,1,0,H,12,17,4,5,19,13,6,10,4,2,1,0,1.95,3.3,4.0
64,SP1,2012-10-06,Vallecano,La Coruna,2,1,H,2,1,H,14,10,5,2,20,12,5,2,8,2,0,0,2.3,3.3,3.1
65,SP1,2012-10-07,Mallorca,Granada,1,2,A,0,0,D,15,10,5,5,15,11,6,4,2,1,1,1,1.83,3.5,4.33
66,SP1,2012-10-07,Ath Bilbao,Osasuna,1,0,H,1,0,H,18,16,8,5,12,9,11,1,4,4,0,0,1.83,3.5,4.33
67,SP1,2012-10-07,Ath Madrid,Malaga,2,1,H,1,1,D,9,8,3,2,25,18,11,1,4,3,0,0,1.73,3.75,4.5
68,SP1,2012-10-07,Barcelona,Real Madrid,2,2,D,1,1,D,10,10,2,3,17,16,7,2,2,4,0,0,1.83,4.0,3.75
69,SP1,2012-10-07,Levante,Valencia,1,0,H,1,0,H,15,12,4,4,15,12,6,9,5,5,0,0,3.5,3.3,2.1
70,SP1,2012-10-20,Valencia,Ath Bilbao,3,2,H,1,2,A,27,7,12,3,12,10,11,5,3,2,0,1,1.62,3.8,5.5
71,SP1,2012-10-20,Real Madrid,Celta,2,0,H,1,0,H,24,7,3,3,11,15,11,5,3,2,0,0,1.1,9.0,23.0
72,SP1,2012-10-20,Malaga,Valladolid,2,1,H,1,1,D,15,11,6,6,9,24,8,1,1,4,0,1,1.53,3.8,6.5
73,SP1,2012-10-20,La Coruna,Barcelona,4,5,A,2,4,A,13,10,8,6,13,15,5,1,4,3,0,1,10.0,5.0,1.3
74,SP1,2012-10-21,Granada,Zaragoza,1,2,A,0,2,A,6,14,3,5,18,17,7,4,5,4,1,0,1.91,3.4,4.0
75,SP1,2012-10-21,Getafe,Levante,0,1,A,0,0,D,18,7,6,4,8,15,13,2,2,3,0,0,1.83,3.5,4.2
76,SP1,2012-10-21,Espanol,Vallecano,3,2,H,1,1,D,13,14,7,6,15,18,6,2,3,3,1,1,1.91,3.4,4.0
77,SP1,2012-10-21,Osasuna,Betis,0,0,D,0,0,D,11,7,2,2,17,11,4,3,3,1,0,0,2.0,3.4,3.75
78,SP1,2012-10-21,Sociedad,Ath Madrid,0,1,A,0,0,D,15,12,3,4,11,14,10,6,5,2,0,0,3.4,3.4,2.1
79,SP1,2012-10-22,Sevilla,Mallorca,3,2,H,1,2,A,22,3,9,2,7,11,15,1,0,2,0,0,1.62,3.8,5.5
80,SP1,2012-10-27,Celta,La Coruna,1,1,D,1,1,D,12,12,2,4,15,16,4,10,2,4,1,0,1.91,3.5,4.0
81,SP1,2012-10-27,Vallecano,Barcelona,0,5,A,0,1,A,18,15,3,10,18,14,7,4,5,1,0,0,11.0,6.0,1.25
82,SP1,2012-10-27,Espanol,Malaga,0,0,D,0,0,D,12,13,3,4,19,21,6,8,4,5,0,0,2.8,3.3,2.5
83,SP1,2012-10-27,Betis,Valencia,1,0,H,1,0,H,10,10,3,3,8,16,8,7,0,6,0,0,2.9,3.3,2.4
84,SP1,2012-10-28,Ath Bilbao,Getafe,1,2,A,0,1,A,21,15,10,8,18,15,8,3,5,2,0,0,1.85,3.5,4.2
85,SP1,2012-10-28,Zaragoza,Sevilla,2,1,H,2,0,H,11,9,6,6,18,12,5,5,3,6,0,0,3.0,3.25,2.38
86,SP1,2012-10-28,Ath Madrid,Osasuna,3,1,H,2,1,H,19,8,9,4,11,11,6,4,3,3,0,0,1.3,5.0,11.0
87,SP1,2012-10-28,Levante,Granada,3,1,H,1,0,H,11,10,6,2,9,13,3,6,1,2,0,0,2.0,3.4,3.75
88,SP1,2012-10-28,Mallorca,Real Madrid,0,5,A,0,2,A,5,16,0,8,11,9,8,6,2,2,0,0,8.0,4.5,1.4
89,SP1,2012-10-29,Valladolid,Sociedad,2,2,D,1,1,D,12,14,6,4,18,14,5,3,3,1,0,0,2.1,3.3,3.5
90,SP1,2012-11-03,Malaga,Vallecano,1,2,A,0,1,A,11,10,4,5,14,13,6,5,3,5,0,0,1.4,4.5,8.0
91,SP1,2012-11-03,Barcelona,Celta,3,1,H,2,1,H,13,11,6,4,9,11,4,5,1,2,0,0,1.08,10.0,26.0
92,SP1,2012-11-03,Real Madrid,Zaragoza,4,0,H,2,0,H,20,13,11,3,10,16,5,4,2,2,0,0,1.08,10.0,26.0
93,SP1,2012-11-03,Valencia,Ath Madrid,2,0,H,1,0,H,6,13,2,2,18,13,1,10,3,4,1,0,2.4,3.4,2.8
94,SP1,2012-11-04,Granada,Ath Bilbao,1,2,A,0,2,A,24,15,9,8,17,17,6,6,5,4,0,0,2.38,3.4,2.88
95,SP1,2012-11-04,Sevilla,Levante,0,0,D,0,0,D,20,3,5,1,9,8,10,2,1,1,0,0,1.5,4.0,7.0
96,SP1,2012-11-04,La Coruna,Mallorca,1,0,H,1,0,H,13,19,3,5,7,15,4,4,1,2,0,0,1.95,3.3,4.0
97,SP1,2012-11-04,Sociedad,Espanol,0,1,A,0,0,D,16,8,8,2,16,23,11,7,1,6,0,0,1.83,3.5,4.33
98,SP1,2012-11-04,Osasuna,Valladolid,0,1,A,0,0,D,17,5,4,3,19,14,11,2,1,3,1,0,2.05,3.2,3.8
99,SP1,2012-11-05,Getafe,Betis,2,4,A,0,0,D,18,7,3,5,9,9,11,3,2,4,0,0,1.91,3.4,4.0
100,SP1,2012-11-09,Betis,Granada,1,2,A,0,1,A,14,12,3,3,12,16,6,3,1,7,0,0,1.7,3.8,4.75
101,SP1,2012-11-10,Vallecano,Celta,3,2,H,0,2,A,29,7,8,2,9,17,9,2,4,4,0,1,2.38,3.4,2.9
102,SP1,2012-11-10,Malaga,Sociedad,1,2,A,1,1,D,12,8,4,4,19,13,8,4,4,2,0,0,1.53,4.0,6.0
103,SP1,2012-11-10,Espanol,Osasuna,0,3,A,0,1,A,18,12,5,6,13,16,10,8,2,4,0,0,1.8,3.5,4.5
104,SP1,2012-11-10,Zaragoza,La Coruna,5,3,H,1,2,A,23,12,9,5,19,12,7,6,4,3,0,1,2.05,3.25,3.75
105,SP1,2012-11-11,Valladolid,Valencia,1,1,D,0,1,A,9,15,2,3,8,10,2,10,0,0,0,1,2.8,3.4,2.4
106,SP1,2012-11-11,Mallorca,Barcelona,2,4,A,0,3,A,5,12,3,5,18,6,6,6,1,1,0,0,13.0,6.0,1.22
107,SP1,2012-11-11,Ath Madrid,Getafe,2,0,H,2,0,H,14,9,4,3,20,13,7,6,2,5,0,0,1.36,4.75,8.5
108,SP1,2012-11-11,Ath Bilbao,Sevilla,2,1,H,2,0,H,9,16,2,7,12,20,2,7,6,5,1,0,2.38,3.5,2.8
109,SP1,2012-11-11,Levante,Real Madrid,1,2,A,0,1,A,11,19,4,6,27,13,2,8,6,1,0,0,9.0,5.5,1.3
110,SP1,2012-11-17,Valencia,Espanol,2,1,H,1,1,D,10,11,6,5,30,18,5,3,7,7,0,2,1.5,4.0,7.0
111,SP1,2012-11-17,Real Madrid,Ath Bilbao,5,1,H,3,1,H,29,11,18,1,15,19,11,4,1,4,0,0,1.17,8.0,12.0
112,SP1,2012-11-17,Barcelona,Zaragoza,3,1,H,2,1,H,8,13,3,2,6,15,5,7,0,1,0,0,1.08,10.0,26.0
113,SP1,2012-11-17,Osasuna,Malaga,0,0,D,0,0,D,19,14,8,3,17,13,12,4,4,1,0,0,3.0,3.2,2.4
114,SP1,2012-11-18,Getafe,Valladolid,2,1,H,0,1,A,19,13,8,3,12,16,5,3,2,0,0,0,2.0,3.3,3.8
115,SP1,2012-11-18,Sevilla,Betis,5,1,H,4,0,H,22,5,13,3,22,18,3,2,3,2,0,1,1.67,3.5,5.5
116,SP1,2012-11-18,La Coruna,Levante,0,2,A,0,1,A,24,12,4,3,12,12,10,5,6,3,1,1,2.05,3.4,3.5
117,SP1,2012-11-18,Celta,Mallorca,1,1,D,0,1,A,15,15,2,7,8,18,4,12,1,3,0,0,1.91,3.4,4.0
118,SP1,2012-11-18,Granada,Ath Madrid,0,1,A,0,0,D,13,12,2,6,14,11,4,9,3,3,0,1,4.5,3.75,1.73
119,SP1,2012-11-19,Sociedad,Vallecano,4,0,H,2,0,H,26,9,10,2,8,16,12,5,1,3,0,0,1.75,3.5,4.75
120,SP1,2012-11-23,Sociedad,Osasuna,0,0,D,0,0,D,13,19,3,5,10,16,9,4,3,4,0,0,1.85,3.5,4.2
121,SP1,2012-11-24,Malaga,Valencia,4,0,H,1,0,H,22,5,6,1,16,19,8,4,2,5,0,1,2.1,3.4,3.4
122,SP1,2012-11-24,Betis,Real Madrid,1,0,H,1,0,H,9,18,3,8,22,9,1,10,4,2,0,0,10.0,5.5,1.29
123,SP1,2012-11-24,Vallecano,Mallorca,2,0,H,0,0,D,19,9,4,5,13,18,10,1,2,3,0,0,2.1,3.4,3.4
